hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay,total_revenue,occupancy_rate,weekend_ratio,cancellation_risk
Luxury Resort,True,2,2016,June,24,5,1,0,2,0.0,0,SB,Unknown,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,109.0,0,1,Cancelled,04-06-2016,1,Summer,False,2.0,False,109.0,0.5,0.9990009990009991,Very Low
Urban Hotel,True,82,2016,September,38,15,0,3,2,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,149.4,0,1,Cancelled,12-09-2016,3,Autumn,False,2.0,False,448.20000000000005,0.5,0.0,Medium
Luxury Resort,False,62,2015,August,34,20,2,8,2,0.0,0,SB,ESP,Offline TA/TO,TA/TO,False,0,0,A,A,0,No Deposit,243.0,Not Applicable,0,Regular,104.0,0,0,Checked-Out,30-08-2015,10,Summer,False,2.0,True,1040.0,0.5,0.19998000199980004,Medium
Urban Hotel,False,133,2016,May,21,17,0,3,2,0.0,0,SB,NLD,Online TA,TA/TO,False,0,0,A,B,1,No Deposit,9.0,Not Applicable,0,Regular-Party,105.3,0,0,Checked-Out,20-05-2016,3,Spring,False,2.0,False,315.9,0.5,0.0,High
Luxury Resort,True,87,2016,August,33,12,1,2,2,1.0,0,SB,BRA,Direct,Direct,False,0,0,A,A,0,No Deposit,250.0,Not Applicable,0,Regular,204.0,0,0,Cancelled,02-06-2016,3,Summer,True,3.0,False,612.0,0.75,0.33322225924691773,Medium
Urban Hotel,False,15,2016,September,39,20,0,1,2,0.0,0,SB,PRT,Online TA,TA/TO,False,0,0,A,A,1,No Deposit,9.0,Not Applicable,0,Regular,139.0,0,1,Checked-Out,21-09-2016,1,Autumn,False,2.0,False,139.0,0.5,0.0,Low
Urban Hotel,False,51,2016,July,29,15,0,1,2,0.0,0,SC,SWE,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,94.5,0,0,Checked-Out,16-07-2016,1,Summer,False,2.0,False,94.5,0.5,0.0,Medium
Urban Hotel,True,327,2015,September,37,9,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,False,1,0,A,A,0,Non Refund,1.0,Not Applicable,0,Regular-Party,62.0,0,0,Cancelled,02-07-2015,2,Autumn,False,2.0,False,124.0,0.5,0.0,High
Urban Hotel,False,138,2017,May,21,27,2,3,1,0.0,0,SB,DEU,Online TA,TA/TO,False,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,90.09,0,1,Checked-Out,01-06-2017,5,Spring,False,1.0,False,450.45000000000005,0.25,0.3999200159968006,High
Urban Hotel,True,228,2017,May,21,24,0,4,3,0.0,0,SB,GBR,Online TA,TA/TO,False,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,157.5,0,1,Cancelled,22-10-2016,4,Spring,False,3.0,False,630.0,0.75,0.0,High
